id,sales
3000888,4.0
3000889,0.0
3000890,10.0
3000891,825.0
3000892,0.0
3000893,494.802
3000894,11.0
3000895,648.0
3000896,456.0
3000897,34.385
3000898,159.0
3000899,115.0
3000900,1686.0
3000901,26.0
3000902,0.0
3000903,18.0
3000904,57.0
3000905,0.0
3000906,202.0
3000907,11.0
3000908,19.0
3000909,17.0
3000910,176.0
3000911,6.0
3000912,300.755
3000913,176.0
3000914,7.0
3000915,14.0
3000916,298.663
3000917,68.336
3000918,4293.365
3000919,3116.372
3000920,31.789
3000921,2.0
3000922,5.0
3000923,4.0
3000924,1255.0
3000925,0.0
3000926,111.0
3000927,5.0
3000928,673.0
3000929,631.0
3000930,295.0
3000931,72.0
3000932,49.0
3000933,4090.388
3000934,2.0
3000935,1.0
3000936,8.0
3000937,17.0
3000938,1.0
3000939,120.0
3000940,5.0
3000941,120.0
3000942,9.0
3000943,180.87799
3000944,1.0
3000945,134.42
3000946,135.0
3000947,2.0
3000948,4.0
3000949,176.781
3000950,18.0
3000951,3974.08
3000952,182.0
3000953,1.0
3000954,15.0
3000955,0.0
3000956,4.0
3000957,4886.0
3000958,0.0
3000959,712.0
3000960,14.0
3000961,1750.0
3000962,1332.0
3000963,503.231
3000964,66.0
3000965,43.0
3000966,5948.578
3000967,51.0
3000968,1.0
3000969,20.0
3000970,30.0
3000971,0.0
3000972,462.0
3000973,16.0
3000974,482.0
3000975,10.0
3000976,398.0
3000977,8.0
3000978,621.59
3000979,437.0
3000980,1.0
3000981,9.0
3000982,395.125
3000983,113.0
3000984,2511.426
3000985,82.0
3000986,3.0
3000987,3.0
3000988,0.0
3000989,4.0
3000990,2309.0
3000991,0.0
3000992,190.0
3000993,4.0
3000994,814.0
3000995,1150.0
3000996,295.0
3000997,131.0
3000998,136.499
3000999,2790.0
3001000,8.0
3001001,0.0
3001002,11.0
3001003,17.0
3001004,0.0
3001005,190.0
3001006,8.0
3001007,190.0
3001008,9.0
3001009,259.0
3001010,2.0
3001011,197.568
3001012,190.0
3001013,0.0
3001014,6.0
3001015,172.635
3001016,17.0
3001017,3657.049
3001018,82.0
3001019,1.0
3001020,5.0
3001021,0.0
3001022,4.0
3001023,2309.0
3001024,0.0
3001025,177.0
3001026,7.0
3001027,814.0
3001028,568.0
3001029,113.0
3001030,107.0
3001031,21.0
3001032,2790.0
3001033,6.0
3001034,0.0
3001035,11.0
3001036,17.0
3001037,0.0
3001038,227.0
3001039,1.0
3001040,227.0
3001041,5.0
3001042,227.0
3001043,1.0
3001044,117.712
3001045,202.73
3001046,0.0
3001047,5.0
3001048,72.079
3001049,16.0
3001050,3974.08
3001051,82.0
3001052,1.0
3001053,10.0
3001054,0.0
3001055,3.0
3001056,1348.0
3001057,0.0
3001058,165.0
3001059,1.0
3001060,1310.0
3001061,853.0
3001062,279.42
3001063,51.0
3001064,35.0
3001065,3728.0
3001066,1.0
3001067,1.0
3001068,11.0
3001069,5.0
3001070,0.0
3001071,159.0
3001072,3.0
3001073,159.0
3001074,5.0
3001075,198.287
3001076,2.0
3001077,206.772
3001078,259.0
3001079,1.0
3001080,13.0
3001081,83.325
3001082,105.0
3001083,8003.299
3001084,97.0
3001085,6.0
3001086,4.0
3001087,4.0
3001088,4.0
3001089,2309.0
3001090,0.0
3001091,120.0
3001092,13.0
3001093,767.0
3001094,1150.0
3001095,185.0
3001096,119.0
3001097,54.0
3001098,6114.0
3001099,1.0
3001100,3.0
3001101,8.0
3001102,15.0
3001103,0.0
3001104,190.0
3001105,12.0
3001106,190.0
3001107,9.0
3001108,175.0
3001109,0.0
3001110,164.187
3001111,221.0
3001112,1.0
3001113,4.0
3001114,100.241
3001115,34.0
3001116,3657.049
3001117,82.0
3001118,4.0
3001119,2.0
3001120,0.0
3001121,3.0
3001122,1518.0
3001123,0.0
3001124,162.0
3001125,2.0
3001126,630.0
3001127,568.0
3001128,343.615
3001129,102.0
3001130,24.0
3001131,2474.1
3001132,4.0
3001133,0.0
3001134,14.0
3001135,5.0
3001136,0.0
3001137,281.0
3001138,0.0
3001139,47.499
3001140,9.0
3001141,36.0
3001142,2.0
3001143,41.286
3001144,172.0
3001145,1.0
3001146,3.0
3001147,98.591995
3001148,45.0
3001149,8003.299
3001150,97.0
3001151,2.0
3001152,14.0
3001153,0.0
3001154,4.0
3001155,2757.0
3001156,0.0
3001157,286.0
3001158,2.0
3001159,920.0
3001160,1177.0
3001161,490.0
3001162,102.0
3001163,72.0
3001164,8604.0
3001165,10.0
3001166,1.0
3001167,17.0
3001168,22.0
3001169,0.0
3001170,226.0
3001171,0.0
3001172,226.0
3001173,9.0
3001174,177.0
3001175,6.0
3001176,248.06999
3001177,177.0
3001178,1.0
3001179,30.0
3001180,270.135
3001181,62.0
3001182,4015.247
3001183,97.0
3001184,7.0
3001185,3.0
3001186,0.0
3001187,12.0
3001188,2327.0
3001189,0.0
3001190,569.0
3001191,0.0
3001192,474.0
3001193,771.0
3001194,191.0
3001195,96.0
3001196,43.0
3001197,2595.045
3001198,8.0
3001199,1.0
3001200,13.0
3001201,28.0
3001202,0.0
3001203,252.0
3001204,4.0
3001205,252.0
3001206,6.0
3001207,157.0
3001208,2.0
3001209,84.173004
3001210,222.932
3001211,1.0
3001212,0.0
3001213,142.658
3001214,80.294
3001215,4280.202
3001216,97.0
3001217,6.211
3001218,8.0
3001219,1.0
3001220,2.0
3001221,2771.0
