id,sales
3000888,-3.5804338
3000889,-3.3942451
3000890,-41.865883
3000891,2121.7031
3000892,-31.557755
3000893,235.75145
3000894,-33.840977
3000895,643.7173
3000896,777.47327
3000897,-8.707068
3000898,59.79266
3000899,45.134235
3000900,4002.2615
3000901,29.188803
3000902,21.951075
3000903,3.4776313
3000904,-66.010826
3000905,25.898878
3000906,-56.924698
3000907,24.9163
3000908,-121.75012
3000909,-52.668163
3000910,69.87758
3000911,7.2872467
3000912,425.1748
3000913,86.67431
3000914,-8.582883
3000915,-8.582883
3000916,421.7644
3000917,113.9404
3000918,3250.844
3000919,285.51196
3000920,4.3055015
3000921,-75.282455
3000922,-77.260025
3000923,-292.65253
3000924,1205.3428
3000925,-93.09923
3000926,-249.34319
3000927,-128.77144
3000928,-123.23798
3000929,-714.7935
3000930,-321.68137
3000931,-60.251125
3000932,-74.90956
3000933,3294.8389
3000934,-22.001375
3000935,-29.272364
3000936,-116.89481
3000937,-209.22253
3000938,-25.32456
3000939,-88.6905
3000940,-34.522827
3000941,-473.5498
3000942,-180.63182
3000943,-243.27136
3000944,-41.38466
3000945,272.80142
3000946,-532.4296
3000947,-57.85163
3000948,-57.85163
3000949,304.06107
3000950,-6.556981
3000951,821.03754
3000952,-78.28156
3000953,-62.415943
3000954,32.49236
3000955,30.514782
3000956,41.63793
3000957,3859.7744
3000958,31.442242
3000959,764.21173
3000960,58.154144
3000961,1617.2561
3000962,602.7109
3000963,357.37317
3000964,159.69057
3000965,145.03214
3000966,7165.582
3000967,29.290903
3000968,-10.236782
3000969,88.99589
3000970,77.972946
3000971,-6.2889786
3000972,339.30157
3000973,-12.639492
3000974,196.20177
3000975,66.56113
3000976,327.47794
3000977,-30.169916
3000978,531.1854
3000979,419.2342
3000980,40.026867
3000981,169.4438
3000982,330.52155
3000983,118.133354
3000984,2499.2441
3000985,138.57394
3000986,-49.790146
3000987,1.3100038
3000988,-0.6675725
3000989,-232.9977
3000990,1305.8865
3000991,-17.851751
3000992,-7.2315903
3000993,-57.31546
3000994,239.07741
3000995,-103.039734
3000996,-51.40618
3000997,-33.15916
3000998,-47.817577
3000999,3168.24
3001000,-1.9755042
3001001,-9.246491
3001002,-37.46005
3001003,-84.80629
3001004,-5.29869
3001005,-11.470339
3001006,-3.1416879
3001007,-233.3892
3001008,-8.247445
3001009,47.646427
3001010,-10.003517
3001011,181.4352
3001012,14.914874
