id,sales
3000888,4.41
3000889,0.0
3000890,6.51
3000891,2484.17
3000892,0.35
3000893,399.71782220000006
3000894,15.35
3000895,707.59
3000896,767.42
3000897,103.64554000000007
3000898,167.48783
3000899,174.27368010000006
3000900,3022.46
3000901,19.81
3000902,2.02
3000903,22.13
3000904,36.49
3000905,0.26
3000906,194.71
3000907,12.09
3000908,143.49
3000909,31.39
3000910,164.11
3000911,7.06
3000912,284.1006499000001
3000913,206.0
3000914,5.27
3000915,11.72
3000916,365.05900999999983
3000917,67.46521054000003
3000918,4111.247269
3000919,3076.5412569999985
3000920,27.347319990000006
3000921,3.02
3000922,1.86
3000923,3.42
3000924,1205.4
3000925,0.0
3000926,105.07
3000927,3.59
3000928,709.72
3000929,601.19
3000930,230.00558
3000931,41.41
3000932,35.036180019999996
3000933,3103.1251300000004
3000934,6.54
3000935,0.2
3000936,15.74
3000937,36.14
3000938,0.29
3000939,208.8285896
3000940,5.03
3000941,207.5469501
3000942,48.9
3000943,212.74229980000004
3000944,1.18
3000945,151.70408292
3000946,215.74070990000004
3000947,1.04
3000948,3.95
3000949,231.05055990999975
3000950,25.64
3000951,3709.6391400000016
3000952,144.73
3000953,1.68
3000954,7.11
3000955,0.22
3000956,6.73
3000957,4838.86
3000958,0.0
3000959,766.5086300000002
3000960,14.71
3000961,1698.65
3000962,956.25
3000963,485.72687999999965
3000964,140.24
3000965,61.826379960000004
3000966,7896.377009999999
3000967,23.92
3000968,1.11
3000969,30.36
3000970,34.56
3000971,0.29
3000972,467.08116
3000973,11.72
3000974,464.68387000000007
3000975,32.73
3000976,362.51
3000977,5.49
3000978,625.179200299999
3000979,541.6969996999998
3000980,1.67
3000981,17.98134
3000982,450.09587180000017
3000983,108.21211999999996
3000984,3449.579299999997
3000985,49.09
3000986,11.2
3000987,5.19
3000988,0.15
3000989,6.12
3000990,1878.96
3000991,0.0
3000992,195.5
3000993,15.67
3000994,934.83
3000995,708.48
3000996,219.58726
3000997,56.4
3000998,46.05505
3000999,3452.9684599999996
3001000,13.54
3001001,0.73
3001002,15.29
3001003,27.94
3001004,0.23
3001005,170.80732013999997
3001006,8.14
3001007,171.70567014
3001008,125.71288
3001009,166.69793
3001010,1.87
3001011,126.21990929999993
3001012,180.06155054000007
3001013,1.99
3001014,5.51
3001015,157.85173980000008
3001016,29.49
3001017,3421.309920999999
3001018,65.62536
3001019,5.35
3001020,4.85
3001021,0.0
3001022,3.95
3001023,1712.17
3001024,0.0
3001025,144.81
3001026,6.57
3001027,890.22
3001028,607.38
3001029,136.85
3001030,56.46
3001031,29.1296
3001032,3375.4751300000003
3001033,12.93
3001034,0.16
3001035,12.91
3001036,32.91
3001037,0.13
3001038,159.00345
3001039,1.94
3001040,163.93368990000002
3001041,27.06
3001042,168.27608
3001043,1.2
3001044,121.75702895999999
3001045,210.62678979999998
3001046,0.61
3001047,4.08
3001048,76.71884999999993
3001049,24.32
3001050,3356.607410000001
3001051,63.9366699
3001052,1.13
3001053,3.96
3001054,0.02
3001055,4.77
3001056,1333.35
3001057,0.0
3001058,192.4
3001059,7.86
3001060,1348.25
3001061,693.01
3001062,247.76706999999996
3001063,35.92
3001064,43.072020040000005
3001065,3738.49591
3001066,14.65
3001067,0.47
3001068,19.35
3001069,32.44
3001070,0.09
3001071,178.73
3001072,2.33
3001073,172.24316
3001074,195.75
3001075,224.86511999999996
3001076,2.43
3001077,260.2388240000001
3001078,282.68117
3001079,0.81
3001080,6.0
3001081,78.51312009999997
3001082,96.64479
3001083,7013.841038
3001084,80.47919
3001085,4.59
3001086,2.23
3001087,7.3
3001088,3.71
3001089,1976.55
3001090,0.0
3001091,144.3
3001092,7.12
3001093,1227.5
3001094,686.23
3001095,263.70554999999996
3001096,91.8099
3001097,57.878589999999996
3001098,4566.470169999995
3001099,11.61
3001100,1.11
3001101,13.5
3001102,27.72
3001103,0.09
3001104,201.32424
3001105,7.88
3001106,208.51076
3001107,60.92654999999999
3001108,176.80382010000002
3001109,2.02
3001110,141.03532985000004
3001111,201.61221039999998
3001112,1.69
3001113,6.55
3001114,136.21401964999998
3001115,45.97
3001116,2596.251300000002
3001117,76.68687000000001
3001118,4.98
3001119,5.48
3001120,0.08
3001121,3.45
3001122,1318.79
3001123,0.0
3001124,170.46
3001125,5.88
3001126,857.28
3001127,568.96
3001128,166.05146999999997
3001129,122.49
3001130,33.37675
3001131,2828.4823799999995
3001132,8.07
3001133,0.19
3001134,15.0
3001135,33.64
3001136,0.03
3001137,146.34906
3001138,0.0
3001139,118.70421012999999
3001140,100.00550000000001
3001141,72.24025999999999
3001142,1.02
3001143,55.464909920000046
3001144,184.15786
3001145,1.08
3001146,2.45
3001147,88.88107874999997
3001148,41.53956
3001149,6855.757568
3001150,57.54
3001151,1.36
